REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	JupIOFactory(boolean)	escapeUnicode	org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	JupIOFactory(boolean)	this	org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	createPropertiesWriter(java.io.Writer,org.apache.commons.configuration2.convert.ListDelimiterHandler)	escapeUnicode	org.apache.commons.configuration2.PropertiesConfiguration$JupIOFactory	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	PRINTABLE_INDEX_START	PRINTABLE_INDEX_START	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	PRINTABLE_INDEX_END	PRINTABLE_INDEX_END	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	JUP_CHARS_ESCAPE	JUP_CHARS_ESCAPE	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	JupPropertiesWriter(java.io.Writer,org.apache.commons.configuration2.convert.ListDelimiterHandler,boolean)	JUP_CHARS_ESCAPE	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	JupPropertiesWriter(java.io.Writer,org.apache.commons.configuration2.convert.ListDelimiterHandler,boolean)	ESCAPER	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	JupPropertiesWriter(java.io.Writer,org.apache.commons.configuration2.convert.ListDelimiterHandler,boolean)	JUP_CHARS_ESCAPE	org.apache.commons.configuration2.PropertiesConfiguration$JupPropertiesWriter	SOURCE
org.apache.commons.configuration2.PropertiesConfiguration$PropertiesReader	PROPERTY_PATTERN	SEPARATORS	org.apache.commons.configuration2.PropertiesConfiguration	SOURCE
